時間軸,コード,銘柄名,シグナル種別,シグナル名,継続,詳細
月足,4755,楽天グループ,買い,騰落率オーバーシュート (下方),1,5日MA乖離率 -13.3% — 売られすぎ（反発注意）
月足,5803,フジクラ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,6098,リクルートホールディングス,買い,騰落率オーバーシュート (下方),1,5日MA乖離率 -14.4% — 売られすぎ（反発注意）
月足,6140,旭ダイヤモンド工業,買い,ゴールデンクロス (中期/長期),1,SMA12がSMA24を上抜け
月足,6140,旭ダイヤモンド工業,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,6140,旭ダイヤモンド工業,買い,出来高急増（陽線）,2,出来高が20日平均の12.8倍（陽線）— 買い集め
月足,6501,日立製作所,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,6701,日本電気,買い,騰落率オーバーシュート (下方),1,5日MA乖離率 -21.3% — 売られすぎ（反発注意）
月足,6702,富士通,買い,騰落率オーバーシュート (下方),1,5日MA乖離率 -12.8% — 売られすぎ（反発注意）
月足,6758,ソニーグループ,買い,騰落率オーバーシュート (下方),2,5日MA乖離率 -14.1% — 売られすぎ（反発注意）
月足,6981,村田製作所,買い,ゴールデンクロス (中期/長期),1,SMA12がSMA24を上抜け
月足,6981,村田製作所,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,7011,三菱重工業,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,7013,ＩＨＩ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,7063,Ｂｉｒｄｍａｎ,買い,RSI 売られすぎ反転,1,RSI(14)が32.8へ上昇（30以下から反転）
月足,7063,Ｂｉｒｄｍａｎ,買い,出来高急増（陽線）,1,出来高が20日平均の3.6倍（陽線）— 買い集め
月足,7063,Ｂｉｒｄｍａｎ,買い,リバーサル・デー（強気）,1,前日の高安を包み込み陽線引け — 外側日反転
月足,7203,トヨタ自動車,買い,ゴールデンクロス (中期/長期),1,SMA12がSMA24を上抜け
月足,7203,トヨタ自動車,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,7211,三菱自動車工業,買い,終値がSMA短期を上抜け,1,終値がSMA6を下から上へ突破
月足,7211,三菱自動車工業,買い,終値がSMA長期を上抜け,1,終値がSMA24を下から上へ突破
月足,8001,伊藤忠商事,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8058,三菱商事,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8267,イオン,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8306,三菱ＵＦＪフィナンシャル・グループ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8316,三井住友フィナンシャルグループ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8604,野村ホールディングス,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,8750,第一生命ホールディングス,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,9432,ＮＴＴ,買い,ゴールデンクロス (中期/長期),1,SMA12がSMA24を上抜け
月足,9501,東京電力ホールディングス,買い,終値がSMA長期を上抜け,1,終値がSMA24を下から上へ突破
月足,9984,ソフトバンクグループ,買い,パーフェクトオーダー (強気),1,短期>中期>長期、3本すべて上昇中
月足,9984,ソフトバンクグループ,買い,騰落率オーバーシュート (下方),2,5日MA乖離率 -11.9% — 売られすぎ（反発注意）
月足,285A,キオクシアホールディングス,売り,騰落率オーバーシュート (上方),7,5日MA乖離率 +45.0% — 過熱感（反落注意）
月足,3103,ユニチカ,売り,騰落率オーバーシュート (上方),4,5日MA乖離率 +160.6% — 過熱感（反落注意）
月足,3350,メタプラネット,売り,終値がSMA長期を下抜け,1,終値がSMA24を上から下へ突破
月足,4307,野村総合研究所,売り,デッドクロス (短期/中期),1,SMA6がSMA12を下抜け
月足,4307,野村総合研究所,売り,出来高急増（陰線）,1,出来高が20日平均の2.4倍（陰線）— 投げ売り
月足,4564,オンコセラピー・サイエンス,売り,パーフェクトオーダー (弱気),1,短期<中期<長期、3本すべて下落中
月足,4582,シンバイオ製薬,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +49.1% — 過熱感（反落注意）
月足,4596,窪田製薬ホールディングス,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +144.4% — 過熱感（反落注意）
月足,4597,ソレイジア・ファーマ,売り,パーフェクトオーダー (弱気),1,短期<中期<長期、3本すべて下落中
月足,4755,楽天グループ,売り,デッドクロス (中期/長期),1,SMA12がSMA24を下抜け
