datetime,action,symbol,price,qty,order_type,obi,cvd,micro_price,pnl,status,detail
2026-02-20T13:11:51.680712+09:00,CLOSE_SIGNAL,4005,570.0,100,limit,,,,20,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999542""}"
2026-02-20T13:11:58.932226+09:00,BUY_ENTRY,268A,1780.0,100,limit,0.6667,358400,1779.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:11:59.285775+09:00,BUY_ENTRY,268A,1780.0,100,limit,0.6667,359200,1779.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:12:04.781758+09:00,SELL_ENTRY,9501,695.7,100,limit,-0.8077,-14800,695.7,,FAIL,"{""Code"": 100313, ""Message"": ""同一銘柄の買い注文と売り注文を同時に行うご注文は、取引時間中における不公正取引の仮装売買（クロス）に該当する可能性があるため、未約定の反対注文の状況をご確認のうえ、執行条件を変更してください。""}"
2026-02-20T13:12:05.715803+09:00,SELL_ENTRY,9501,695.7,100,limit,-0.8889,-6500,695.7,,FAIL,"{""Code"": 100313, ""Message"": ""同一銘柄の買い注文と売り注文を同時に行うご注文は、取引時間中における不公正取引の仮装売買（クロス）に該当する可能性があるため、未約定の反対注文の状況をご確認のうえ、執行条件を変更してください。""}"
2026-02-20T13:12:23.757779+09:00,BUY_ENTRY,3103,1242.0,100,limit,0.8462,2989200,1241.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:12:45.492758+09:00,BUY_ENTRY,3103,1241.0,100,limit,0.7297,2946000,1240.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:12:45.959456+09:00,BUY_ENTRY,3103,1241.0,100,limit,0.7436,2948900,1240.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:12:50.155512+09:00,SELL_ENTRY,4755,824.9,100,limit,-0.6842,-585600,825.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:13:26.592791+09:00,BUY_ENTRY,3103,1240.0,100,limit,0.9333,3026800,1240.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:13:26.956386+09:00,BUY_ENTRY,3103,1240.0,100,limit,0.9333,3029600,1240.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:13:45.437933+09:00,BUY_ENTRY,6378,1524.0,100,limit,0.5000,125400,1521.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:13:45.788116+09:00,BUY_ENTRY,6378,1524.0,100,limit,0.5000,125600,1521.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:01.181109+09:00,BUY_ENTRY,268A,1791.0,100,limit,0.6364,239100,1791.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:01.558234+09:00,BUY_ENTRY,268A,1791.0,100,limit,0.7143,240100,1791.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:02.129221+09:00,BUY_ENTRY,268A,1791.0,100,limit,0.8095,241800,1791.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:02.499679+09:00,BUY_ENTRY,268A,1791.0,100,limit,0.8095,243500,1791.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:02.853953+09:00,BUY_ENTRY,268A,1792.0,100,limit,0.8095,245200,1791.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:03.215877+09:00,BUY_ENTRY,268A,1792.0,100,limit,0.8095,246900,1791.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:14:06.290375+09:00,BUY_ENTRY,4582,196.0,100,limit,0.9371,54327500,197.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999696""}"
2026-02-20T13:14:37.911210+09:00,CLOSE_SIGNAL,4582,196.0,100,limit,,,,0,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999736""}"
2026-02-20T13:14:47.342781+09:00,BUY_ENTRY,4005,571.4,100,limit,0.5263,184400,571.4,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999749""}"
2026-02-20T13:15:02.469349+09:00,CLOSE_SIGNAL,4005,571.7,100,limit,,,,30,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999771""}"
2026-02-20T13:15:20.608643+09:00,BUY_ENTRY,268A,1809.0,100,limit,0.7333,213900,1808.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:15:20.981471+09:00,BUY_ENTRY,268A,1809.0,100,limit,0.7333,215000,1808.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:15:21.337011+09:00,BUY_ENTRY,268A,1809.0,100,limit,0.7333,216100,1808.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:15:22.614029+09:00,BUY_ENTRY,268A,1809.0,100,limit,0.7333,217200,1808.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:15:31.322131+09:00,SELL_ENTRY,4755,825.6,100,limit,-0.7500,-748600,825.6,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:16:15.185296+09:00,BUY_ENTRY,3103,1237.0,100,limit,0.4074,2980200,1236.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
